inn;name;employees;okved_main;source;revenue_year;revenue;site;email;phone;phones_other;description;region
7729396106;"АО ""ТЕКОРА""";100;62.01;api-fns/search+multinfo;2024;453985000;tekora.ru;office@tekora.ru;4953331119;4953341050,4953341302,4953341521,4953344995,4953361619,4953368500;;г. Москва, ул. Кржижановского, д.29, к.5, пом.3Б/1/5
7720564927;"ООО ""ГИАР ГЕЙМЗ""";100;62.0;api-fns/search+multinfo;2024;369355000;;;4956733097;;;г. Москва, ул. 2-Я Энтузиастов, д.3, оф.414, 415
7838005183;"АО ""ЦКР""";100;62.01;api-fns/search+multinfo;2024;257922000;kodeksdoc.ru;sed-lo@mail.ru;8123188043;8123188270,8124707887,9217796191,9516433132,8127407883,8127407890,8127407887,8125767678;;г. Санкт-Петербург, пр-кт Средний В.о., д.36/40, лит.А, пом.1-Н, пом.968
7721609433;"ООО ""ИНФОРСЕР ИНЖИНИРИНГ""";100;62.01;api-fns/search+multinfo;2024;618688000;inforser.ru;nsk@inforser.ru;4952228483;4953632370,4992442597,9652319801,9652319805,4956601731,4956601745,4956601733;;г. Москва, пр-кт Рязанский, д.24, к.2, оф.ЭТ/ПОМ/ком.5/Х/23
7709545670;"ООО ""ВЕБСОФТ ДЕВЕЛОПМЕНТ""";100;62.01;api-fns/search+multinfo;2024;608012000;;;9253785141;8127401462,9045477333;;"г. Москва, ул. Нагатинская, д.16, пом.XXIX; ком.11"
6313007301;"ООО ""ОТКРЫТЫЙ КОД""";100;62.01;api-fns/search+multinfo;2024;378192000;;torgi@o-code.ru info@o-code.ru;8463321918;9376427777,8463311111;;обл. Самарская, г. Самара, ул. Ульяновская, д.52/55, эт.15, ком.14
7703761097;"ООО ""ЛАБОРАТОРИЯ НАНОСЕМАНТИКА""";100;62.01;api-fns/search+multinfo;2024;290321000;nanosemantics.ai;nano@mail.ru;4952582810;9165335588,9657138785,9586435490,4952690630,4959955872,8415632527;;г. Москва, б-р Раменский, д.1, стр.1
9705130862;"ООО ""ЭМБЕДИКА""";100;62.01;api-fns/search+multinfo;2024;484557000;;saltanova@embedika.ru;4999932167;;;г. Москва, б-р Раменский, д.1, стр.1
9702013818;"ООО ""ФЕНИКС""";100;62.01;api-fns/search+multinfo;2024;1514288000;fenix-ipoteka.ru;BUH@FENIX-BG.RU;9636477533;8007079387,8007079389;;г. Москва, ул. Садовая-Самотечная, д.24/27
7716960396;"ООО ""ВЦР""";100;62.01;api-fns/search+multinfo;2024;365565000;;alexander.kuzhel@ivoin.ru;;;;г. Москва, пр-кт Вернадского, д.6
